time,P311_S14_food_bev,P312N_S14_non_durable_excl_food
2010-Q1,1430.2,18885.4
2010-Q2,1472.5,18965.9
2010-Q3,1471.2,18808.5
2010-Q4,1589.9,19043.0
2011-Q1,1550.0,18843.6
2011-Q2,1562.4,18890.1
2011-Q3,1597.4,18954.2
2011-Q4,1623.5,19053.9
2012-Q1,1589.3,18911.8
2012-Q2,1600.5,18726.3
2012-Q3,1605.8,18818.1
2012-Q4,1606.7,18675.4
2013-Q1,1652.0,18829.3
2013-Q2,1643.3,18866.1
2013-Q3,1636.5,18839.0
2013-Q4,1651.2,18880.1
2014-Q1,1666.6,18825.0
2014-Q2,1709.8,18906.5
2014-Q3,1742.0,19017.5
2014-Q4,1841.2,19084.3
2015-Q1,1848.3,19309.1
2015-Q2,1914.5,19528.3
2015-Q3,1939.3,19653.5
2015-Q4,1975.1,19884.4
2016-Q1,2001.8,20038.0
2016-Q2,1988.0,20033.8
2016-Q3,2038.3,20323.8
2016-Q4,2052.1,20516.0
2017-Q1,2144.0,20665.6
2017-Q2,2227.1,20910.3
2017-Q3,2311.1,21103.6
2017-Q4,2323.2,21297.9
2018-Q1,2364.3,21420.2
2018-Q2,2381.2,21481.1
2018-Q3,2421.3,21608.3
2018-Q4,2410.0,21735.5
2019-Q1,2432.1,22000.1
2019-Q2,2455.1,22133.2
2019-Q3,2432.9,22188.7
2019-Q4,2427.4,22467.2
2020-Q1,2434.3,21458.2
2020-Q2,2171.7,19371.7
2020-Q3,2480.6,20435.6
2020-Q4,2260.0,19765.1
2021-Q1,2148.5,19864.9
2021-Q2,2600.7,21111.0
2021-Q3,2586.7,21480.6
2021-Q4,2524.0,21487.9
2022-Q1,2468.6,21320.7
2022-Q2,2378.1,21253.2
2022-Q3,2254.2,21068.5
2022-Q4,2234.8,20850.9
2023-Q1,2318.7,20634.2
2023-Q2,2322.0,20737.3
2023-Q3,2297.8,20660.2
2023-Q4,2288.2,20824.9
2024-Q1,2195.6,21149.4
2024-Q2,2251.0,21090.5
2024-Q3,2249.5,21219.3
2024-Q4,2275.0,21610.5
2025-Q1,2196.5,21636.8
