STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,s_adj,Seasonal adjustment,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMQ_10_FCS(1.0),Household final consumption expenditure by durability,Q,Quarterly,CLV10_MEUR,"Chain linked volumes (2010), million euro",SCA,Seasonally and calendar adjusted data,P311_S14,"Final consumption expenditure of households, durable goods",CZ,Czechia,2010-Q1,,1433.7,,,,,
dataflow,ESTAT:NAMQ_10_FCS(1.0),Household final consumption expenditure by durability,Q,Quarterly,CLV10_MEUR,"Chain linked volumes (2010), million euro",SCA,Seasonally and calendar adjusted data,P311_S14,"Final consumption expenditure of households, durable goods",CZ,Czechia,2010-Q2,,1468.0,,,,,
dataflow,ESTAT:NAMQ_10_FCS(1.0),Household final consumption expenditure by durability,Q,Quarterly,CLV10_MEUR,"Chain linked volumes (2010), million euro",SCA,Seasonally and calendar adjusted data,P311_S14,"Final consumption expenditure of households, durable goods",CZ,Czechia,2010-Q3,,1461.4,,,,,
dataflow,ESTAT:NAMQ_10_FCS(1.0),Household final consumption expenditure by durability,Q,Quarterly,CLV10_MEUR,"Chain linked volumes (2010), million euro",SCA,Seasonally and calendar adjusted data,P311_S14,"Final consumption expenditure of households, durable goods",CZ,Czechia,2010-Q4,,1600.7,,,,,
dataflow,ESTAT:NAMQ_10_FCS(1.0),Household final consumption expenditure by durability,Q,Quarterly,CLV10_MEUR,"Chain linked volumes (2010), million euro",SCA,Seasonally and calendar adjusted data,P311_S14,"Final consumption expenditure of households, durable goods",CZ,Czechia,2011-Q1,,1550.9,,,,,
dataflow,ESTAT:NAMQ_10_FCS(1.0),Household final consumption expenditure by durability,Q,Quarterly,CLV10_MEUR,"Chain linked volumes (2010), million euro",SCA,Seasonally and calendar adjusted data,P311_S14,"Final consumption expenditure of households, durable goods",CZ,Czechia,2011-Q2,,1557.9,,,,,
dataflow,ESTAT:NAMQ_10_FCS(1.0),Household final consumption expenditure by durability,Q,Quarterly,CLV10_MEUR,"Chain linked volumes (2010), million euro",SCA,Seasonally and calendar adjusted data,P311_S14,"Final consumption expenditure of households, durable goods",CZ,Czechia,2011-Q3,,1595.4,,,,,
dataflow,ESTAT:NAMQ_10_FCS(1.0),Household final consumption expenditure by durability,Q,Quarterly,CLV10_MEUR,"Chain linked volumes (2010), million euro",SCA,Seasonally and calendar adjusted data,P311_S14,"Final consumption expenditure of households, durable goods",CZ,Czechia,2011-Q4,,1629.1,,,,,
dataflow,ESTAT:NAMQ_10_FCS(1.0),Household final consumption expenditure by durability,Q,Quarterly,CLV10_MEUR,"Chain linked volumes (2010), million euro",SCA,Seasonally and calendar adjusted data,P311_S14,"Final consumption expenditure of households, durable goods",CZ,Czechia,2012-Q1,,1589.6,,,,,
dataflow,ESTAT:NAMQ_10_FCS(1.0),Household final consumption expenditure by durability,Q,Quarterly,CLV10_MEUR,"Chain linked volumes (2010), million euro",SCA,Seasonally and calendar adjusted data,P311_S14,"Final consumption expenditure of households, durable goods",CZ,Czechia,2012-Q2,,1605.9,,,,,
