year,rgdpe,csh_i
1950,349636.46875,0.0856076180934906
1951,364069.46875,0.10058768093585968
1952,374281.375,0.07854291051626205
1953,394011.4375,0.08668743073940277
1954,411017.21875,0.11164233088493347
1955,419967.28125,0.12340573221445084
1956,436576.28125,0.13787439465522766
1957,436011.90625,0.1288069635629654
1958,469676.15625,0.12263745814561844
1959,479952.0,0.12444115430116653
1960,512688.8125,0.15739816427230835
1961,531700.9375,0.14418037235736847
1962,553177.75,0.14964325726032257
1963,591619.25,0.15408319234848022
1964,635005.875,0.15981385111808777
1965,623916.4375,0.16643357276916504
1966,621061.625,0.1690046191215515
1967,669394.4375,0.15447057783603668
1968,701859.25,0.14024662971496582
1969,779643.9375,0.14000244438648224
1970,793718.4375,0.15078602731227875
1971,826950.0,0.1580028235912323
1972,859136.5,0.14617304503917694
1973,906032.1875,0.1657503992319107
1974,890894.0,0.16206598281860352
1975,979254.375,0.13598492741584778
1976,973629.375,0.14993324875831604
1977,971071.4375,0.16266418993473053
1978,946768.0625,0.185585618019104
1979,878210.125,0.16652818024158478
1980,889360.1875,0.1672258973121643
1981,886597.8125,0.14780662953853607
1982,874883.5,0.14637713134288788
1983,903271.4375,0.1407003104686737
1984,901494.0,0.13801905512809753
1985,914695.375,0.13792437314987183
1986,955235.1875,0.13783593475818634
1987,1006418.375,0.1502961665391922
1988,1086794.125,0.15815980732440948
1989,1162939.75,0.15874417126178741
1990,1230354.0,0.17489804327487946
1991,1278588.625,0.14522899687290192
1992,1341249.0,0.15919962525367737
1993,1422512.5,0.1590760201215744
1994,1503883.5,0.17844048142433167
1995,1621902.875,0.17633475363254547
1996,1753185.25,0.16510780155658722
1997,1835009.25,0.18607597053050995
1998,1988377.625,0.18253861367702484
1999,2120749.75,0.2066042572259903
2000,2231893.25,0.19525064527988434
2001,2363159.25,0.2016296088695526
2002,2491591.5,0.2154669165611267
2003,2701895.25,0.23393189907073975
2004,2941207.5,0.2802467346191406
2005,3295581.75,0.30123239755630493
2006,3670959.75,0.3003179728984833
2007,4129024.75,0.336774080991745
2008,4251417.0,0.30120447278022766
2009,4704781.5,0.3228268623352051
2010,5398284.5,0.3415526747703552
2011,5827524.0,0.33385008573532104
2012,6221945.0,0.31216418743133545
2013,6450820.0,0.2838202714920044
2014,6691916.0,0.2877975404262543
2015,7159239.5,0.2761140465736389
2016,7643770.0,0.2784976363182068
2017,8069977.5,0.3023316264152527
2018,8612077.0,0.2799438536167145
2019,8945547.0,0.2703309655189514
